file,line,severity,category,description,code
FST_Cost_V1/api/definitions/merchants.php,319,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,'message' => 'This merchant cannot be deleted because it has ' . $row['count'] . ' tour(s) associated with it. Please delete all tours first.'
FST_Cost_V1/api/definitions/positions.php,16,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL); // Still log errors but don't display
FST_Cost_V1/api/definitions/positions.php,38,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Database connection failed: ' . $e->getMessage()]);"
FST_Cost_V1/api/definitions/positions.php,44,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/positions.php,79,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$city_id = isset($_GET['city_id']) ? (int)$_GET['city_id'] : null;
FST_Cost_V1/api/definitions/positions.php,83,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$dept_id = isset($_GET['department_id']) ? (int)$_GET['department_id'] : null;
FST_Cost_V1/api/definitions/positions.php,125,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/positions.php,146,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT c.*, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/positions.php,165,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT d.*, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/positions.php,173,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT d.*, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/positions.php,240,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,'message' => 'This department cannot be deleted because it has ' . $row['count'] . ' position(s) associated with it. Please delete all positions first.'
FST_Cost_V1/api/definitions/positions.php,240,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,'message' => 'This department cannot be deleted because it has ' . $row['count'] . ' position(s) associated with it. Please delete all positions first.'
FST_Cost_V1/api/definitions/positions.php,260,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT p.*, d.name as department_name, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/positions.php,269,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT p.*, d.name as department_name, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/tours.php,16,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL); // Still log errors but don't display
FST_Cost_V1/api/definitions/tours.php,36,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,$msg = defined('APP_DEBUG') && APP_DEBUG ? $e->getMessage() . ' in ' . $e->getFile() . ':' . $e->getLine() : 'Configuration error';
FST_Cost_V1/api/definitions/tours.php,70,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/tours.php,105,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$country_id = isset($_GET['country_id']) ? (int)$_GET['country_id'] : null;
FST_Cost_V1/api/definitions/tours.php,109,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$region_id = isset($_GET['region_id']) ? (int)$_GET['region_id'] : null;
FST_Cost_V1/api/definitions/tours.php,113,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$city_id = isset($_GET['city_id']) ? (int)$_GET['city_id'] : null;
FST_Cost_V1/api/definitions/tours.php,117,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$sub_region_id = isset($_GET['sub_region_id']) ? (int)$_GET['sub_region_id'] : null;
